지하철역,4승,4하,5승,5하,6승,6하,7승,7하,8승,8하,9승,9하,10승,10하,11승,11하,12승,12하,13승,13하,14승,14하,15승,15하,16승,16하,17승,17하,18승,18하,19승,19하,20승,20하,21승,21하,22승,22하,23승,23하,24승,24하,1승,1하,2승,2하,3승,3하
2호선 사당,235,5,11834,3319,23876,26610,69086,40906,99472,64517,68276,48295,41436,38259,39445,40877,44786,42753,46705,44997,46653,45338,47020,54577,52739,71010,67007,99863,89647,148914,57013,106542,49216,60202,62774,56735,62471,66013,9296,23220,8,1298,0,0,0,0,0,0
2호선 낙성대(강감찬),36,5,11207,1843,24900,7906,76695,20015,122272,37293,75933,30814,39130,23207,33284,21597,36767,25386,36372,26621,33196,28862,34515,33783,36861,39166,44331,57516,48973,94110,27935,86096,20851,54005,21934,50952,17918,62390,4354,21503,0,1279,0,0,0,0,0,0
2호선 서울대입구(관악구청),3861,8,27348,2304,41013,12770,123041,31071,182584,63548,114799,59610,60864,47103,54425,43365,59490,48831,61943,53059,57710,56559,62168,63502,70233,73496,77849,106924,88155,174544,54257,146884,45068,84647,54198,76000,48991,94391,8974,32619,1,6122,0,0,0,0,0,0
2호선 봉천,56,0,15349,1503,28299,6785,80341,13214,121028,25931,68826,19044,36730,18475,30212,19206,31779,21854,32862,24056,28019,26112,27587,33826,30340,37850,29452,52918,33022,84991,18500,74113,14358,44999,14118,41291,10390,46863,2703,17441,0,128,0,0,0,0,0,0
2호선 신림,188,7,38876,3540,74756,18535,203285,34765,307192,60843,178215,48476,92030,40484,76089,42095,81729,50120,77763,57600,70913,65363,68501,82147,76614,99542,83494,144912,85260,246318,53481,222213,43604,130983,48974,122003,46505,138670,9237,59751,2,249,1,0,0,0,0,0
2호선 신대방,116,4,24724,1586,35896,8717,89518,17357,127229,31643,75239,20941,40359,16863,32159,17596,33323,21213,32417,23941,28355,27288,27762,36381,30552,43158,33789,62263,39784,92146,21629,83039,15148,52099,12354,55314,10176,61168,2661,25044,1,51,0,0,0,0,0,0
2호선 구로디지털단지,158,6,39244,5613,52599,20990,135894,82945,181310,264030,111304,155758,61411,59306,55926,45502,60882,46582,63360,55829,58289,57245,60909,65089,72631,74813,124186,108628,232305,162786,116913,132639,65823,79149,61208,77677,52522,88247,7433,34306,1,162,0,0,0,0,0,0
2호선 대림(구로구청),352,8,34318,3171,30146,10470,65576,23687,90891,58183,60478,34659,34084,28803,28818,28694,32007,28891,31935,30930,29656,31741,30596,38684,34565,43705,42612,62347,54352,71221,27879,53710,18418,36150,15802,45174,12254,48711,3101,16623,1,392,0,0,0,0,0,0
2호선 신도림,3538,33,34575,4619,48285,16493,131971,39547,133392,112491,82265,67520,54401,59037,53415,53830,61117,57927,63714,61646,62233,59841,65697,66725,74289,76486,90803,102119,126084,164045,72416,123257,59242,68470,63928,63766,48054,79167,7964,31099,20,6293,0,1,0,0,0,0
2호선 문래,9,1,3384,1939,12436,9565,42394,35946,46059,124472,24895,55109,17433,21788,16983,18024,19357,20362,21289,21743,21778,20817,23602,22006,30227,24532,52755,31644,104281,52409,37441,38713,24260,20277,26740,17819,23521,20133,3260,7084,4,263,0,0,0,0,0,0
2호선 영등포구청,40,0,5443,3225,12667,13614,41526,37090,46701,126853,28859,55671,22208,26326,23244,22814,25388,23723,26954,26576,27581,24823,29239,25262,35437,28349,53458,34399,107844,53411,37100,36786,26086,21153,27633,20122,21232,22153,3887,8885,1,231,0,1,0,0,0,0
2호선 당산,35,3,5965,2844,15532,11322,44197,29233,54184,79641,31031,37684,21371,19357,21051,17568,22469,19672,22480,22651,21588,21600,23884,23669,27620,28831,39607,42198,61769,71432,26473,48612,19762,30435,22514,29233,20166,33580,4002,12133,6,246,0,0,0,1,0,0
2호선 합정,47,4,6466,2872,15535,13558,42947,32015,55563,88424,35491,74314,24368,40341,25441,39158,29717,43445,34177,48321,35979,45266,39204,46203,46084,53594,65520,69450,107308,102983,68618,69308,52472,32861,66219,27870,68676,30490,10032,12836,8,597,0,0,0,0,0,0
2호선 홍대입구,195,6,9869,2770,19841,12895,56626,31830,72192,93954,45502,101475,32910,68695,38587,76712,47405,97191,57020,109543,61714,107418,74426,109302,95728,118438,121392,143062,152504,180663,118606,116960,115505,52896,162356,39535,163115,42898,19565,19349,75,2299,0,0,0,0,0,0
2호선 신촌,40,1,4482,2577,11695,15388,31773,33486,44840,75580,31134,80366,29317,51391,34730,47481,43191,53151,45090,59528,46894,54133,55099,50035,66126,53472,84435,70566,83991,97969,59786,62197,60487,30362,75022,26832,71773,30368,9794,12640,4,69,3,0,0,0,0,0
2호선 이대,34,1,2554,1384,6414,9230,18782,11508,24778,33495,15511,30816,11599,21849,13632,18443,18024,20901,20324,23497,18796,19655,21837,18069,29046,18624,37396,22402,33519,30938,20642,23584,16008,14125,17537,14472,13157,17650,2863,7035,2,54,0,4,0,0,0,0
2호선 아현,9,0,4551,1076,10878,7981,27569,13049,36839,22813,20372,11549,14358,9607,14453,9214,14774,10877,14288,12090,13563,12112,15311,13690,24145,15912,18738,21341,19794,32204,11924,25036,7860,15684,6672,15644,5285,17626,1216,6759,5,37,1,1,0,1,0,0
